Kata Kunci,Analisis
anjing,"Secara harfiah, kata anjing memiliki makna hewan berkaki empat yang memiliki taring dan cakar serta pemakan bangkai. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila seseorang atau sekelompok orang disapa dengan atau dipanggil anjing, orang tersebut dihina dan diperlakukan sifat dan fisik serta karakternya seperti hewan anjing."
asu,"Secara harfiah, kata asu memiliki makna ‘anjing’ dalam bahasa Indonesia. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), kata ini bermakna ‘orang yang memiliki sifat, perilaku, dan tingkah laku seperti anjing’. Apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, kata ini merupakan bentuk ungkapan penghinaan"
bajingan,"Secara harfiah, kata bajingan memiliki makna ‘penjahat’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa atau memanggil seseorang atau sekelompok orang, kata ini termasuk ke dalam kategori penghinaan"
bangsat,"Secara harfiah, kata bangsat memiliki makna ‘orang yang bertabiat jahat (terutama yang suka mencuri, mencopet, dan sebagainya’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, kata ini merupakan bentuk ungkapan penghinaan"
otak gila,"Secara harfiah, frasa otak gila memiliki makna ‘orang yang memiliki pikiran terganggu atau sakit ingatan atau gangguan jiwa’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, frasa ini merupakan bentuk ungkapan penghinaan"
babi betina,"Secara harfiah, frasa babi betina memiliki makna ‘perempuan yang bertingkah laku, berperilaku, bersifat seperti babi betina’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, frasa ini termasuk ke dalam kategori bentuk penghinaan."
babi,"Secara harfiah, kata babi memiliki makna ‘orang yang berperilaku, bertingkah, dan brsifat seperti babi, rakus, tamak’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, kata ini merupakan bentuk ungkapan penghinaan"
hati busuk,"Secara harfiah, frasa hati busuk memiliki makna ‘sifat (tabiat) batin buruk manusia’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, kata ini merupakan bentuk ungkapan penghinaan karena orang tersebut dianggap atau dituduh memiliki sifat (tabiat) batin yang buruk"
keparat,"Secara harfiah, kata keparat memiliki makna ‘jahanam, bangsat, kafir, tidak bertuhan’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, kata ini termasuk ke dalam kategori bentuk penghinaan"
lonte,"Secara harfiah, kata lonte memiliki makna ‘perempuan yang menjajakan diri atau penjaja seks komersial. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila seseorang atau sekelompok orang disapa atau dipanggil dengan kata lonte, orang tersebut dihina dan diperlakukan sifat dan fisik serta karakternya seperti hewan lonte"
manusia babi,"Secara harfiah, frasa manusia babi memiliki makna ‘orang yang berperilaku, bersifat, dan bertingkah seperti babi’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa atau memanggil seseorang atau sekelompok orang, frasa ini merupakan bentuk penghinaan"
manusia bejad,"Secara harfiah, frasa manusia bejad memiliki makna ‘orang yang memiliki akhlak, budi pekerti, dankelakuan yang buruk’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, frasa ini termasuk ke dalam kategori bentuk penghinaan."
manusia rakus,"Secara harfiah, frasa manusia rakus memiliki makna ‘orang yang ingin memperoleh lebih banyak daripada yang diperlukan, tamak, loba, serakah’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, kata ini termasuk ke dalam kategori bentuk penghinaan"
manusia songong,"Secara harfiah, frasa manusia songong memiliki makna ‘orang yang tidak tahu adat’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, kata ini termasuk ke dalam kategori bentuk penghinaan"
muka bangsat,"Secara harfiah, frasa muka bangsat memiliki makna ‘wajah orang yang bertabiat jahat (terutama yang suka mencuri, mencopet, dan sebagainya’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa atau memanggil seseorang atau sekelompok orang, frasa ini merupakan penghinaan"
muka garong,"Secara harfiah, frasa muka garong memiliki makna ‘orang yang berwajah perampok, pencuri, atau penyamun’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, kata ini termasuk ke dalam kategori bentuk penghinaan"
muka iblis,"Secara harfiah, frasa muka iblis memiliki makna ‘orang yang berwajah iblis atau setan’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, kata ini termasuk ke dalam kategori bentuk penghinaan"
muke gile,"Secara harfiah, kata muke gile bermakna ‘mukanya orang gila’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa atau memanggil seseorang atau sekelompok orang, kata ini merupakan penghinaan"
otak kriminal,"Secara harfiah, frasa otak kriminal memiliki makna ‘otak atau pikiran jahat’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), frasa ini bermakna ‘orang yang memiliki pikiran atau otak jahat’. Apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, kata ini merupakan bentuk ungkapan penghinaan"
siluman,"Secara harfiah, kata siluman memiliki makna ‘makhluk halus yang sering menampakkan dirisebagai manusia atau binatang’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, kata ini merupakan bentuk ungkapan penghinaan"
tai,"Secara harfiah, kata tai memiliki makna ‘ampas makanan dari dalam perut yang keluar melalui dubur, tinja’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa atau memanggil seseorang atau sekelompok orang, kata ini merupakan penghinaan atau makian"
tampang iblis,"Secara harfiah, frasa tampang lo iblis memiliki makna ‘wajah, muka, atau tampang seperti setan atau iblis. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), frasa ini bermakna ‘orang yang memiliki wajah, muka, atau tampang seperti setan atau iblis’. Apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, kata ini merupakan bentuk ungkapan penghinaan"
wanita gila,"Secara harfiah, frasa wanita gila bermakna ‘wanita yang memiliki gangguan jiwa, sakit ingatan, dan kurang ajar’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa atau memanggil seseorang atau sekelompok orang, frasa ini merupakan bentuk penghinaan"
wanita malam,"Secara harfiah, frasa wanita malam bermakna ‘pelacur, penjaja seks komersial, lonte’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa atau memanggil seseorang atau sekelompok orang, frasa ini merupakan bentuk penghinaan"
wewegombel,"Secara harfiah, frasa Wewe Gombel atau juga disebut Nenek Gombel adalah sebuah istilah dalam tradisi Jawa yang berarti roh jahat atau hantu yang suka menculik anak-anak, tetapi tidak mencelakainya (Sumber; Wewe Gombel - Wikipedia bahasa Indonesia, ensiklopedia bebas)’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, kata ini merupakan bentuk ungkapan penghinaan"
monyet,"Secara harfiah, apabila ditujukan kepada seseorang, kata monyet dapat dikategorikan sebagai bentuk penghinaan. Kata ini memiliki makna merendahkan seseorang, yaitu menganggap seseorang serupa dengan perilaku, sifat dan wajah monyet"
biadab,"Secara harfiah, frasa biadab bermakna ‘tidak beradab; tidak tahu adat; belum beradab’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan untuk menyapa, menyebut, atau memanggil seseorang atau sekelompok orang, frasa ini merupakan bentuk penghinaan"
bugil,"Secara harfiah, kata bugil bermakna ‘telanjang, tanpa sehelai benang’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila digunakan untuk menyapa, menyebut, memanggil atau ditujukan kepada seseorang atau sekelompok orang, kata bugil ini merupakan bentuk penghinaan"
jahanam,"Secara harfiah, kata jahanan memiliki makna ‘terkutuk, jahat sekali’. Kata ini dikenal sebagai bentuk makian dan sumpah. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan kepada seseorang atau sekelompok orang, kata jahanam dikategorikan sebagai bentuk penghinaan"
kontol,"Secara harfiah, kata kontol bermakna ‘alat kelamin laki-laki, alat reproduksi pria, penis’. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila digunakan untuk menyapa, menyebut, memanggil atau ditujukan kepada seseorang atau sekelompok orang, kata ini merupakan bentuk penghinaan"
kudacuki,"Secara harfiah, kata kudacuki dapat diartikan dengan kuda ‘binatang menyusui, berkuku satu, biasanya dipiara sebagai kendaraan atau penarik kendaraan’ dan cuki ‘sanggama’. Di dalam Bahasa Melayu Dialek Ternate, kata ini dikenal sebagai bentuk cacian dan makian yang kasar sekali. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan kepada seseorang atau sekelompok orang, kata kudacuki dikategorikan sebagai bentuk penghinaan"
puki,"Secara harfiah, kata puki memiliki makna kemaluan perempuan. Di beberapa dialek, kata ini dikenal sebagai bentuk makian atau cacian. Secara pragmatis, yakni ilmu yang mempelajari tindak bahasa (speech act), apabila ditujukan atau digunakan kepada seseorang atau sekelompok orang, kata puki dikategorikan sebagai bentuk penghinaan"
